Detector Name,Detection Time,Descriptor Name,Description Time,Number of matches
ORB,11.9607ms,BRISK,1.68762ms,90
ORB,13.3797ms,BRISK,1.59424ms,88
ORB,14.8514ms,BRISK,1.65306ms,86
ORB,16.4574ms,BRISK,1.57889ms,90
,,,
ORB,13.1677ms,BRIEF,2.54786ms,
ORB,13.5528ms,BRIEF,1.11473ms,37
ORB,16.6927ms,BRIEF,1.33114ms,38
ORB,11.7033ms,BRIEF,1.16408ms,37
ORB,14.495ms,BRIEF,1.13471ms,53
ORB,12.1398ms,BRIEF,1.14869ms,42
ORB,11.7191ms,BRIEF,4.33131ms,60
ORB,13.3565ms,BRIEF,0.891838ms,57
ORB,12.9924ms,BRIEF,0.887357ms,61
ORB,13.7275ms,BRIEF,1.38164ms,60
,,,
ORB,15.8371ms,ORB,10.4437ms,
ORB,9.7387ms,ORB,7.69574ms,67
ORB,9.10912ms,ORB,7.50286ms,70
ORB,11.6073ms,ORB,8.38936ms,72
ORB,11.4562ms,ORB,11.4457ms,84
ORB,13.2393ms,ORB,7.03963ms,91
ORB,15.7092ms,ORB,5.97499ms,99
ORB,13.3777ms,ORB,9.68783ms,91
ORB,20.9697ms,ORB,7.44951ms,91
ORB,16.7116ms,ORB,7.66916ms,90
,,,
ORB,14.4901ms,FREAK,58.2601ms,
ORB,14.915ms,FREAK,78.248ms,41
ORB,12.2058ms,FREAK,58.1841ms,36
ORB,11.3869ms,FREAK,57.6769ms,44
ORB,11.4166ms,FREAK,58.3169ms,47
ORB,11.6568ms,FREAK,57.5657ms,44
ORB,13.851ms,FREAK,53.4872ms,51
ORB,11.1622ms,FREAK,58.0576ms,52
ORB,14.0864ms,FREAK,53.0463ms,47
ORB,9.97873ms,FREAK,61.0205ms,54
,,,
ORB,15.8071ms,SIFT,85.176ms,
ORB,10.4893ms,SIFT,95.9379ms,66
ORB,11.6927ms,SIFT,122.394ms,79
ORB,12.4859ms,SIFT,90.4059ms,78
ORB,11.1637ms,SIFT,86.8035ms,79
ORB,11.7208ms,SIFT,86.4861ms,82
ORB,15.5621ms,SIFT,93.5891ms,93
ORB,14.8558ms,SIFT,101.255ms,94
ORB,13.0169ms,SIFT,109.455ms,93
ORB,13.1936ms,SIFT,109.383ms,92
,,,
AKAZE,135.511ms,BRISK,2.05479ms,
AKAZE,286.852ms,BRISK,2.02602ms,134
AKAZE,130.795ms,BRISK,3.24499ms,124
AKAZE,146.931ms,BRISK,2.81264ms,129
AKAZE,152.255ms,BRISK,4.11281ms,128
AKAZE,170.496ms,BRISK,2.05311ms,130
AKAZE,157.912ms,BRISK,2.16236ms,132
AKAZE,142.604ms,BRISK,2.62607ms,142
AKAZE,149.833ms,BRISK,2.3698ms,144
AKAZE,155.74ms,BRISK,2.27206ms,141
,,,
AKAZE,134.053ms,BRIEF,1.02251ms,
AKAZE,140.381ms,BRIEF,1.44358ms,105
AKAZE,131.359ms,BRIEF,2.92159ms,116
AKAZE,117.721ms,BRIEF,2.41841ms,110
AKAZE,119.385ms,BRIEF,0.988496ms,107
AKAZE,113.757ms,BRIEF,0.955901ms,116
AKAZE,131.289ms,BRIEF,2.62395ms,128
AKAZE,139.358ms,BRIEF,1.12355ms,133
AKAZE,128.141ms,BRIEF,2.80649ms,134
AKAZE,116.949ms,BRIEF,2.59268ms,128
,,,
AKAZE,130.813ms,ORB,4.5525ms,
AKAZE,146.896ms,ORB,4.61686ms,128
AKAZE,129.021ms,ORB,5.39368ms,128
AKAZE,119.95ms,ORB,5.43691ms,126
AKAZE,116.5ms,ORB,4.61788ms,118
AKAZE,116.77ms,ORB,5.15896ms,129
AKAZE,118.123ms,ORB,5.13278ms,131
AKAZE,119.312ms,ORB,5.49539ms,136
AKAZE,137.428ms,ORB,5.60638ms,136
AKAZE,140.527ms,ORB,4.9374ms,143
,,,
AKAZE,125.499ms,FREAK,50.6386ms,
AKAZE,142.293ms,FREAK,62.9473ms,123
AKAZE,124.663ms,FREAK,57.0374ms,128
AKAZE,115.067ms,FREAK,58.2868ms,128
AKAZE,116.2ms,FREAK,56.2788ms,121
AKAZE,128.856ms,FREAK,53.5466ms,122
AKAZE,130.659ms,FREAK,51.2751ms,133
AKAZE,144.896ms,FREAK,56.9895ms,144
AKAZE,124.727ms,FREAK,54.5327ms,145
AKAZE,128.708ms,FREAK,52.457ms,135
,,,
AKAZE,127.053ms,AKAZE,102.247ms,
AKAZE,138.37ms,AKAZE,99.1976ms,135
AKAZE,169.209ms,AKAZE,172.193ms,138
AKAZE,123.025ms,AKAZE,105.8ms,132
AKAZE,144.484ms,AKAZE,99.457ms,126
AKAZE,141.744ms,AKAZE,119.539ms,128
AKAZE,141.033ms,AKAZE,103.592ms,146
AKAZE,136.208ms,AKAZE,106.321ms,147
AKAZE,135.6ms,AKAZE,105.297ms,149
AKAZE,141.575ms,AKAZE,105.433ms,148
,,,
AKAZE,140.491ms,SIFT,40.7149ms,
AKAZE,157.618ms,SIFT,38.9306ms,132
AKAZE,131.39ms,SIFT,44.036ms,134
AKAZE,118.189ms,SIFT,43.6204ms,129
AKAZE,139.26ms,SIFT,45.2065ms,136
AKAZE,143.389ms,SIFT,46.9375ms,136
AKAZE,145.741ms,SIFT,44.9032ms,147
AKAZE,147.661ms,SIFT,43.1058ms,147
AKAZE,125.245ms,SIFT,40.2521ms,153
AKAZE,109.489ms,SIFT,40.9978ms,149
,,,
SIFT,193.761ms,BRISK,1.84268ms,
SIFT,201.83ms,BRISK,1.74824ms,63
SIFT,195.543ms,BRISK,1.82598ms,64
SIFT,219.448ms,BRISK,1.75617ms,60
SIFT,196.703ms,BRISK,1.70159ms,65
SIFT,197.696ms,BRISK,1.81507ms,59
SIFT,204.202ms,BRISK,1.76817ms,65
SIFT,192.403ms,BRISK,2.20427ms,64
SIFT,202.291ms,BRISK,1.91764ms,67
SIFT,209.354ms,BRISK,1.94707ms,79
,,,
SIFT,196.274ms,BRIEF,0.931269ms,
SIFT,195.16ms,BRIEF,0.880221ms,62
SIFT,188.882ms,BRIEF,1.16425ms,70
SIFT,195.721ms,BRIEF,0.968408ms,61
SIFT,197.461ms,BRIEF,0.89907ms,65
SIFT,198.726ms,BRIEF,0.931427ms,52
SIFT,191.034ms,BRIEF,0.979647ms,58
SIFT,198.083ms,BRIEF,1.00194ms,70
SIFT,192.976ms,BRIEF,0.995415ms,70
SIFT,190.741ms,BRIEF,0.924772ms,84
,,,
SIFT,196.142ms,FREAK,50.9156ms,
SIFT,198.549ms,FREAK,53.0254ms,64
SIFT,196.842ms,FREAK,56.3654ms,70
SIFT,175.17ms,FREAK,52.3573ms,62
SIFT,204.4ms,FREAK,53.2025ms,65
SIFT,188.263ms,FREAK,51.6707ms,59
SIFT,189.289ms,FREAK,53.8506ms,60
SIFT,191.129ms,FREAK,52.7918ms,64
SIFT,196.89ms,FREAK,54.3402ms,65
SIFT,203.218ms,FREAK,53.4708ms,79
,,,
SIFT,187.478ms,SIFT,130.856ms,
SIFT,156.576ms,SIFT,102.348ms,81
SIFT,207.894ms,SIFT,147.8ms,79
SIFT,232.422ms,SIFT,101.556ms,83
SIFT,161.945ms,SIFT,105.914ms,92
SIFT,161.073ms,SIFT,109.464ms,90
SIFT,172.704ms,SIFT,111.717ms,82
SIFT,171.397ms,SIFT,112.785ms,82
SIFT,165.619ms,SIFT,109.45ms,100
SIFT,175.581ms,SIFT,113.789ms,101
